,0
Ibrugtaget år,ibrug_aar
Kvarter,kvarter
Ejendom,ejendom
Matr nr,matr_nr
Div. oplysninger,div_oplysn
Antal p-pladser,antal_pladser
Alment boligselskab,alment_boligselsk
Tinglyst antal,tinglyst_antal
Verserende,verserende
Se Deklaration (PDF),link
Bekrivelse,beskrivels
Transportform,transportform
Endepunkt A,endepunkt_a
Endepunkt B,endepunkt_b
Busruter,busruter
Link til skolevejsprojekt,skolevejsproj_link
Begge retninger,begge_retninger
Stoppested,stopnavn
Ændringer,aendringer
Stop ID,stopid
Niveau,f20_note01
Pct. afv. fra Kommunegennemsnittet,pct_afv_fra_kommune_snit
Tælletype,type
Gns.pr.time kl.10-18,gns_pr_time_10_18
År mdr,aar_mdr
Tællested_nr,t_nr
Takst,takst
Link til takst på hjemmesiden,link
Rute,rute
Dræbt,draebt
Alvorligt tilskadekommende,uh_uhid_uhantalvtils
Let tilskadekommende,uh_uhid_uhantlettils
Transportmiddel 1,transport1
Transportmiddel 2,transport2
Transportmiddel 3,transport3
Blødeste trafikant,bloedeste_trafikant
Antal uheld,numpoints
Uhelds ID,uhelds_id
Antal dræbte,antal_draebte
Uhelds art,uheldsart
Vægtbegrænsning,vaegtbegraensning
Vejkode_id,vejnr
Fra station i m.,fra_station
Til station i m.,til_station
Skiltekode,skilte_kode
Tekst i hovedtavle,TEKST_I_HOVEDTAVLE_1
Tekst i undertavle 1,TEKST_I_UNDERTAVLER_1
Tekst i undertavle 2,TEKST_I_UNDERTAVLER_2
"if length(trim(h1_bagside))>0 then '<a target=""_blank"" href=""'+h1_bagside+'"">
			<img src=""'+h1_bagside+'"" alt=""thumb"" style=""border:none;""/></a>' 
			else 'Intet billede' endif",'Hovedtavle_bagside'
Tekst i hovedtavle 2,TEKST_I_HOVEDTAVLE_2
Se foto hyperlink,FOTO_ID
Fodgængere kl. 7-19,fod_7_19
ÅDT Fodgængere,aadt_fod_7_24
HVDT Fodgængere,hvdt_fod_7_24
Fodgængere kl. 7-21,fod_7_21
Fodgængere kl. 7-24,fod_7_24
Løbere kl. 7-19,loeb_7_19
VejID,vej_id
Til stationering,til_st
Anlæg type,anlaeg_type
Styreapp.type,styreapp_type
Spolestation_type,spolestation_type
Tællested_type,taellested_type
T-nr,t_nr
husnummer,husnummer
Alder,alder
Udfordring,udfordring
Barriere,barriere_tekst
Uheldsart,uheldsart
Situation,uheldssituation
Færdselselement 1,elementar1
Færdselselement 2,elementar2
Færdselselement 3,elementar3
Alvorligpersonskader,antal_alvorligpersonskader
Letterepersonskade,antal_letterepersonskader
Dræbte,antal_draebte
Tilskadekomne,antal_tilskadekomne
Uskadte,antal_uskadte
bløde trafikater,uh_antal_bloede
Kryds_id,kryds_id
Uhelds_id,uh_id
Undersøgelsestype,type
Temaer,'Byliv'
Må offentliggøres,center
Dato for udførelse,link
Link til undersøgelsen,kommentarer
Rodenr.,rode_nr
DKBW Nr.,dkbw_id
Myndighed 1,myndighed1
Myndighed 2,myndighed2
Søtype,soetype
Vandløbstype,vandloebstype
Myndighed 3,myndighed3
Nedsivningspotentiale,nedsivningspotentiale
Potentialekode,potentiale_kode
Tilladelse udløbet,tilladelse_udloebet
Nedsivningsevne,nedsivningsevne
Byggesag: '+ link_byggesag,link_byggesag
Miljøsag: '+ link_miljoesag,link_miljoesag
Start dato,start_dato
Slut dato,slut_dato
Vandmængde,vandmaengde
Aktiv,aktiv
Kontaktperson KK,kontaktperson1_kk
Kontaktperson HOFOR,kontaktperson_hofor
Projekt navn,projekt
System status,system_status
Ejer spildevand,ejer_spildevand
Ejer vejvand,ejer_vejvand
Ejer tagvand,ejer_tagvand
Status_plan,status_plan
Kloaksystem status,kloaksystem_status
Kloaksystem plan,kloaksystem_plan
PE status,pe_status
PE plan,pe_plan
Udløb status,udloeb_status
Udløb plan,udloeb_plan
Befæstet areal status,befaestet_areal_status
Befæstet areal plan,befaestet_areal_plan
Renseanlæg,renseanlaeg
Type_id,type_id
Type_afloeb_kode,type_afloeb_kode
Afløbstype,afloebstype
Geoid,geoid
"Rensning, status",rensning_status
"Overløb pr.år, status",overloeb_pr_aar_status
Stationsnummer,TOSTRING(STATIONSNR)
Start år,TOSTRING(START_AAR)
Formål,formaal
Art,art
Kunde nr.,kundeid
Ordre nr.,ordrenr
Gade,gade
Fra dato,fradato
Til dato,tildato
"Kontakt, tlf",telefon
email,mail
beskrivelse,beskrivelse
geometry,shape_wkt
